op_unique_carrier,origin,arr_delay,cancelled,month
OO,XWA,-30.0,0,4
UA,FCA,-12.0,0,9
B6,JFK,-22.0,0,2
NK,STT,39.0,0,1
OH,CLT,100.0,0,2
AA,DCA,290.0,0,8
9E,CVG,11.0,0,2
WN,SAT,15.0,0,6
UA,MSY,-19.0,0,10
OO,DTW,-8.0,0,8
F9,DFW,4.0,0,6
OO,RIC,4.0,0,10
WN,LAS,9.0,0,4
DL,TPA,-14.0,0,8
F9,MCO,12.0,0,1
DL,DTW,-3.0,0,5
AA,PHX,-24.0,0,2
G4,OMA,-41.0,0,12
OO,TUS,-1.0,0,3
AS,SEA,8.0,0,8
DL,HSV,14.0,0,9
WN,LIT,63.0,0,6
9E,RDU,-15.0,0,4
WN,RNO,129.0,0,3
OO,TWF,-19.0,0,4
NK,FLL,51.0,0,2
WN,COS,-10.0,0,8
OO,MLI,9.0,0,10
G4,AUS,-33.0,0,1
WN,BWI,-26.0,0,3
OO,LAX,96.0,0,7
WN,ATL,-20.0,0,8
WN,PHX,3.0,0,2
NK,MCO,6.0,0,3
YX,DTW,-17.0,0,11
OO,SLC,-8.0,0,5
WN,BWI,15.0,0,12
AA,MIA,-20.0,0,12
AA,MIA,-9.0,0,7
MQ,DFW,27.0,0,3
WN,SAN,-15.0,0,1
WN,SYR,-13.0,0,6
WN,AUS,137.0,0,2
HA,HNL,0.0,0,12
OO,SMF,20.0,0,1
WN,MEM,,1,3
DL,IAH,-9.0,0,7
YX,MYR,-23.0,0,12
AA,ORD,-8.0,0,10
UA,DEN,-17.0,0,2
OO,SDF,-4.0,0,6
B6,MCO,-16.0,0,12
B6,MCO,38.0,0,3
NK,MCO,-16.0,0,10
DL,MSP,-8.0,0,2
F9,MIA,-22.0,0,7
OO,ORD,55.0,0,6
9E,AUS,9.0,0,5
OO,ORD,-7.0,0,8
AA,CLT,17.0,0,5
OO,LAX,-14.0,0,6
NK,MIA,-2.0,0,6
DL,SLC,-7.0,0,9
DL,ATL,-11.0,0,4
DL,ATL,11.0,0,12
WN,OAK,-7.0,0,6
AA,BNA,27.0,0,8
DL,LGA,-20.0,0,10
OO,RDD,-16.0,0,1
DL,ATL,-17.0,0,3
NK,SJU,-9.0,0,6
WN,PHX,1.0,0,11
MQ,ORD,-13.0,0,12
DL,ATL,84.0,0,7
9E,ATL,-18.0,0,5
NK,MCO,68.0,0,3
OO,BIS,-8.0,0,8
WN,BUR,-11.0,0,10
DL,SFO,-1.0,0,10
MQ,ORD,-13.0,0,6
WN,BNA,-1.0,0,6
UA,SBA,-5.0,0,1
DL,MCO,33.0,0,12
DL,MSP,14.0,0,10
WN,ORD,59.0,0,5
WN,BNA,22.0,0,9
UA,MDT,-25.0,0,3
AA,DFW,-7.0,0,12
OO,SAT,-13.0,0,7
AA,CLT,99.0,0,8
MQ,DFW,-15.0,0,4
WN,LAX,-13.0,0,3
AS,MCO,-3.0,0,1
DL,ATL,-14.0,0,5
WN,SAT,-23.0,0,4
UA,DEN,-29.0,0,1
DL,ATL,-2.0,0,5
DL,ATL,-6.0,0,2
OO,CLE,-19.0,0,2
F9,MSP,-34.0,0,4
OH,ICT,-7.0,0,12
UA,SFO,-18.0,0,4
UA,MIA,-5.0,0,11
UA,ATL,-29.0,0,12
AA,FLL,-17.0,0,6
UA,EWR,81.0,0,12
NK,MIA,9.0,0,7
AA,PHX,89.0,0,6
UA,DEN,42.0,0,6
WN,HNL,-14.0,0,4
OO,LAX,-4.0,0,11
NK,ATL,-5.0,0,9
OO,DFW,-13.0,0,9
AA,LGA,-15.0,0,5
UA,DEN,-15.0,0,3
WN,ONT,-11.0,0,8
OO,PDX,27.0,0,7
